#iterative separation between p-node lists
#step s1 s2 s3 s4
01 0.0003 0.0019 0.0019 0.0003
02 0.0003 0.0019 0.0019 0.0003
03 0.0004 0.0019 0.0019 0.0004
04 0.0004 0.0020 0.0020 0.0004
05 0.0004 0.0020 0.0020 0.0004
06 0.0004 0.0020 0.0020 0.0004
07 0.0004 0.0020 0.0020 0.0004
08 0.0004 0.0021 0.0021 0.0004
09 0.0004 0.0021 0.0021 0.0004
10 0.0004 0.0021 0.0021 0.0004
11 0.0005 0.0022 0.0022 0.0005
12 0.0005 0.0022 0.0022 0.0005
13 0.0005 0.0023 0.0023 0.0005
14 0.0005 0.0023 0.0023 0.0005
15 0.0005 0.0023 0.0023 0.0005
16 0.0006 0.0024 0.0024 0.0006
17 0.0006 0.0024 0.0024 0.0006
18 0.0006 0.0025 0.0025 0.0006
19 0.0007 0.0025 0.0025 0.0007
20 0.0007 0.0026 0.0026 0.0007
21 0.0007 0.0026 0.0026 0.0007
22 0.0008 0.0027 0.0027 0.0008
23 0.0008 0.0028 0.0028 0.0008
24 0.0009 0.0029 0.0029 0.0009
25 0.0009 0.0029 0.0029 0.0009
26 0.0010 0.0029 0.0029 0.0010
27 0.0010 0.0030 0.0030 0.0010
28 0.0010 0.0030 0.0030 0.0010
29 0.0011 0.0030 0.0030 0.0011
30 0.0011 0.0031 0.0031 0.0011
31 0.0011 0.0031 0.0031 0.0011
32 0.0012 0.0031 0.0031 0.0012
33 0.0012 0.0032 0.0032 0.0012
34 0.0013 0.0032 0.0032 0.0013
35 0.0013 0.0033 0.0033 0.0013
36 0.0013 0.0033 0.0033 0.0013
37 0.0014 0.0033 0.0033 0.0014
38 0.0014 0.0034 0.0034 0.0014
39 0.0014 0.0034 0.0034 0.0014
40 0.0015 0.0035 0.0035 0.0015
41 0.0015 0.0035 0.0035 0.0015
42 0.0015 0.0036 0.0036 0.0015
43 0.0016 0.0036 0.0036 0.0016
44 0.0016 0.0037 0.0037 0.0016
45 0.0016 0.0037 0.0037 0.0016
46 0.0017 0.0038 0.0038 0.0017
47 0.0017 0.0038 0.0038 0.0017
48 0.0017 0.0038 0.0038 0.0017
49 0.0018 0.0039 0.0039 0.0018
50 0.0018 0.0039 0.0039 0.0018
51 0.0018 0.0040 0.0040 0.0018
52 0.0018 0.0040 0.0040 0.0018
53 0.0019 0.0041 0.0041 0.0019
54 0.0019 0.0041 0.0041 0.0019
55 0.0019 0.0041 0.0041 0.0019
56 0.0020 0.0042 0.0042 0.0020
57 0.0020 0.0042 0.0042 0.0020
58 0.0020 0.0042 0.0042 0.0020
59 0.0021 0.0043 0.0043 0.0021
60 0.0021 0.0043 0.0043 0.0021
61 0.0021 0.0043 0.0043 0.0021
62 0.0021 0.0044 0.0044 0.0021
63 0.0022 0.0044 0.0044 0.0022
64 0.0022 0.0044 0.0044 0.0022
65 0.0022 0.0045 0.0045 0.0022
66 0.0023 0.0045 0.0045 0.0023
67 0.0023 0.0045 0.0045 0.0023
68 0.0023 0.0046 0.0046 0.0023
69 0.0021 0.0042 0.0042 0.0021
70 0.0022 0.0042 0.0042 0.0022
71 0.0022 0.0043 0.0043 0.0022
72 0.0023 0.0043 0.0043 0.0023
73 0.0023 0.0044 0.0044 0.0023
74 0.0024 0.0045 0.0045 0.0024
75 0.0025 0.0045 0.0045 0.0025
76 0.0025 0.0046 0.0046 0.0025
77 0.0026 0.0047 0.0047 0.0026
78 0.0026 0.0047 0.0047 0.0026
79 0.0028 0.0051 0.0051 0.0028
80 0.0029 0.0052 0.0052 0.0029
81 0.0030 0.0052 0.0052 0.0030
82 0.0030 0.0053 0.0053 0.0030
83 0.0031 0.0053 0.0053 0.0031
84 0.0032 0.0054 0.0054 0.0032
85 0.0032 0.0054 0.0054 0.0032
86 0.0033 0.0055 0.0055 0.0033
87 0.0033 0.0055 0.0055 0.0033
88 0.0034 0.0056 0.0056 0.0034
89 0.0035 0.0057 0.0057 0.0035
90 0.0036 0.0057 0.0057 0.0036
91 0.0036 0.0058 0.0058 0.0036
92 0.0037 0.0059 0.0059 0.0037
93 0.0038 0.0059 0.0059 0.0038
94 0.0039 0.0060 0.0060 0.0039
95 0.0039 0.0061 0.0061 0.0039
96 0.0039 0.0061 0.0061 0.0039
97 0.0040 0.0062 0.0062 0.0040
98 0.0041 0.0063 0.0063 0.0041
99 0.0041 0.0064 0.0064 0.0041
100 0.0042 0.0065 0.0065 0.0042
101 0.0042 0.0065 0.0065 0.0042
102 0.0042 0.0066 0.0066 0.0042
103 0.0043 0.0067 0.0067 0.0043
104 0.0043 0.0068 0.0068 0.0043
105 0.0042 0.0066 0.0066 0.0042
106 0.0040 0.0063 0.0063 0.0040
107 0.0037 0.0060 0.0060 0.0037
108 0.0035 0.0058 0.0058 0.0035
109 0.0034 5.6086 5.6086 0.0034
110 0.0032 0.0040 0.0040 0.0032
111 0.0031 0.0039 0.0039 0.0031
112 0.0030 0.0039 0.0039 0.0030
113 0.0028 0.0039 0.0039 0.0028
114 0.0027 0.0038 0.0038 0.0027
115 0.0027 0.0038 0.0038 0.0027
116 0.0026 0.0038 0.0038 0.0026
117 0.0025 0.0038 0.0038 0.0025
118 0.0025 0.0038 0.0038 0.0025
119 0.0025 0.0039 0.0039 0.0025
120 0.0025 0.0040 0.0040 0.0025
121 0.0025 0.0041 0.0041 0.0025
122 0.0025 0.0042 0.0042 0.0025
123 0.0026 0.0044 0.0044 0.0026
124 0.0028 0.0047 0.0047 0.0028
125 0.0031 0.0051 0.0051 0.0031
126 0.0035 0.0057 0.0057 0.0035
127 0.0036 0.0059 0.0059 0.0036
128 0.0037 0.0060 0.0060 0.0037
129 0.0037 0.0059 0.0059 0.0037
130 0.0037 0.0056 0.0056 0.0037
131 0.0036 0.0055 0.0055 0.0036
132 0.0035 0.0053 0.0053 0.0035
133 0.0035 0.0051 0.0051 0.0035
134 0.0035 0.0050 0.0050 0.0035
135 0.0034 0.0048 0.0048 0.0034
136 0.0034 0.0047 0.0047 0.0034
